annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;00000;2020301;1.5;l;Oui;Non
2017;00000;2020318;194.64000000000001;l;Oui;Non
2017;00000;2020336;2.0;kg;Oui;Non
2017;00000;2020348;314.0;l;Non;Non
2017;00000;2020448;59.44;l;Oui;Non
2017;00000;2020456;552.0;l;Non;Non
2017;00000;2020474;217.0;l;Non;Non
2017;00000;2030002;58.0;l;Non;Non
2017;00000;2030010;2.0;l;Non;Non
2017;00000;2030011;45.0;l;Non;Non
2017;00000;2030050;834.85;l;Oui;Non
2017;00000;2030055;3.0;l;Non;Non
2017;00000;2030071;3645.0;kg;Non;Non
2017;00000;2030072;1080.0;kg;Non;Non
2017;00000;2030073;105.0;kg;Non;Non
2017;00000;2030110;30.0;kg;Non;Non
2017;00000;2030114;16.0;kg;Non;Non
2017;00000;2030125;9729.539999999995;l;Oui;Non
2017;00000;2030174;22.76;kg;Non;Non
2017;00000;2030175;4644.100000000005;kg;Oui;Non
2017;00000;2030184;6.75;kg;Oui;Non
2017;00000;2030226;120.0;kg;Non;Non
2017;00000;2030255;4825.0;l;Non;Non
2017;00000;2030273;255.24000000000007;l;Oui;Non
2017;00000;2030286;4.4;l;Oui;Non
2017;00000;2030290;4.0;l;Non;Non
2017;00000;2030292;60.0;kg;Non;Non
2017;00000;2030321;43.5;l;Oui;Non
2017;00000;2030323;24110.470199999996;l;Non;Non
2017;00000;2030332;9265.400000000012;l;Oui;Non
2017;00000;2030342;4700.0;l;Non;Non
2017;00000;2030375;502.0;l;Non;Non
2017;00000;2030404;110.0;l;Non;Non
2017;00000;2030406;22.5;kg;Oui;Non
2017;00000;2030430;3885.0;kg;Non;Non
2017;00000;2030457;10.5;kg;Non;Non
2017;00000;2030466;2741.5;kg;Oui;Non
2017;00000;2040019;425.0;kg;Non;Non
2017;00000;2040079;133.64999999999998;l;Oui;Non
2017;00000;2040080;3838.5;kg;Oui;Non
2017;00000;2040085;99.5;l;Oui;Non
2017;00000;2040109;12.0;kg;Non;Non
2017;00000;2040141;0.6000000000000001;l;Non;Non
2017;00000;2040146;14721.719999999998;l;Non;Non
2017;00000;2040195;114.0;l;Non;Non
2017;00000;2040199;55.0;kg;Non;Non
2017;00000;2040201;1430.0;l;Non;Non
2017;00000;2040205;1.2;kg;Oui;Non
2017;00000;2040310;850.0;l;Non;Non
2017;00000;2040323;0.4;l;Oui;Non
